key,start,end,row_y,notes
septuagint,-280,-180,7.5,requested by Ptolemy II Philadelphus (285–247 BCE)
dead_sea_scrolls,-250,-50,9,Discovered 1946 – 1956
codex_sinaiticus,325,400,6.8,After 325 AD
codex_vaticanus,300,400,16.8,
babel,-2268,-2168,4,during the time of Peleg
gilgamesh,-1900,-1600,8.7,Gilgamesh and Aga
epic_gilgamesh,-1630,-1280,10.5,Epic of Gilgamesh
oxyrhynchus,150,550,18.2,Oxyrhynchus Papyri
p52,125,175,19.6,Rylands Library Papyrus P52
xia-dynasty,-2070,-1580,12.2,semi-legendary period
